GeneFamily	Description
K11745	kefC; glutathione-regulated potassium-efflux system ancillary protein KefC
K11747	kefB; glutathione-regulated potassium-efflux system protein KefB
K11748	kefG; glutathione-regulated potassium-efflux system ancillary protein KefG
K11749	rseP; regulator of sigma E protease [EC:3.4.24.-]
K11750	frsA; esterase FrsA [EC:3.1.-.-]
K11751	ushA; 5'-nucleotidase / UDP-sugar diphosphatase [EC:3.1.3.5 3.6.1.45]
K11752	ribD; diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:3.5.4.26 1.1.1.193]
K11753	ribF; riboflavin kinase / FMN adenylyltransferase [EC:2.7.1.26 2.7.7.2]
K11754	folC; dihydrofolate synthase / folylpolyglutamate synthase [EC:6.3.2.12 6.3.2.17]
K11755	hisIE; phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP cyclohydrolase [EC:3.6.1.31 3.5.4.19]
K11779	fbiC; FO synthase [EC:2.5.1.147 4.3.1.32]
K11780	"cofG; 7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase [EC:4.3.1.32]"
K11781	cofH; 5-amino-6-(D-ribitylamino)uracil---L-tyrosine 4-hydroxyphenyl transferase [EC:2.5.1.147]
K11784	mqnC; cyclic dehypoxanthinyl futalosine synthase [EC:1.21.98.1]
K11785	"mqnD; 1,4-dihydroxy-6-naphthoate synthase [EC:1.14.-.-]"
K11788	ADE5; phosphoribosylamine--glycine ligase / phosphoribosylformylglycinamidine cyclo-ligase [EC:6.3.4.13 6.3.3.1]
K11811	arsH; arsenical resistance protein ArsH
K11891	"impL, vasK, icmF; type VI secretion system protein ImpL"
K11892	"impK, ompA, vasF, dotU; type VI secretion system protein ImpK"
K11893	"impJ, vasE; type VI secretion system protein ImpJ"
K11894	"impI, vasC; type VI secretion system protein ImpI"
K11895	"impH, vasB; type VI secretion system protein ImpH"
K11896	"impG, vasA; type VI secretion system protein ImpG"
K11897	impF; type VI secretion system protein ImpF
K11898	impE; type VI secretion system protein ImpE
K11900	impC; type VI secretion system protein ImpC
K11901	impB; type VI secretion system protein ImpB
K11902	impA; type VI secretion system protein ImpA
K11903	hcp; type VI secretion system secreted protein Hcp
K11904	vgrG; type VI secretion system secreted protein VgrG
K11905	K11905; type VI secretion system protein
K11906	"vasD, lip; type VI secretion system protein VasD"
K11907	"vasG, clpV; type VI secretion system protein VasG"
K11908	vasH; sigma-54 dependent transcriptional regulator
K11909	vasI; type VI secretion system protein VasI
K11910	vasJ; type VI secretion system protein VasJ
K11911	vasL; type VI secretion system protein VasL
K11915	"stp1, pppA; serine/threonine protein phosphatase Stp1 [EC:3.1.3.16]"
K11921	"cynR; LysR family transcriptional regulator, cyn operon transcriptional activator"
K11922	"mngR, farR; GntR family transcriptional regulator, mannosyl-D-glycerate transport/metabolism system repressor"
K11924	"mntR; DtxR family transcriptional regulator, manganese transport regulator"
K11925	sgrR; SgrR family transcriptional regulator
K11926	crl; sigma factor-binding protein Crl
K11927	rhlE; ATP-dependent RNA helicase RhlE [EC:3.6.4.13]
K11928	putP; sodium/proline symporter
K11929	phoE; outer membrane pore protein E
K11930	torT; periplasmic protein TorT
K11934	ompX; outer membrane protein X
K11936	"pgaC, icaA; poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]"
K11937	pgaD; biofilm PGA synthesis protein PgaD
K11939	rhtA; inner membrane transporter RhtA
K11940	hspQ; heat shock protein HspQ
K11941	mdoC; glucans biosynthesis protein C [EC:2.1.-.-]
K11942	icmF; isobutyryl-CoA mutase [EC:5.4.99.13]
K11959	urtA; urea transport system substrate-binding protein
K11960	urtB; urea transport system permease protein
K11961	urtC; urea transport system permease protein
K11962	urtD; urea transport system ATP-binding protein
K11963	urtE; urea transport system ATP-binding protein
K11991	tadA; tRNA(adenine34) deaminase [EC:3.5.4.33]
K11996	"MOCS3, UBA4; adenylyltransferase and sulfurtransferase [EC:2.7.7.80 2.8.1.11]"
K12056	traG; conjugal transfer mating pair stabilization protein TraG
K12057	traF; conjugal transfer pilus assembly protein TraF
K12058	traN; conjugal transfer mating pair stabilization protein TraN
K12059	trbC; conjugal transfer pilus assembly protein TrbC
K12060	traU; conjugal transfer pilus assembly protein TraU
K12061	traW; conjugal transfer pilus assembly protein TraW
K12062	trbI; conjugal transfer pilin signal peptidase TrbI
K12063	traC; conjugal transfer ATP-binding protein TraC
K12064	traV; conjugal transfer pilus assembly protein TraV
K12065	traB; conjugal transfer pilus assembly protein TraB
K12066	traK; conjugal transfer pilus assembly protein TraK
K12067	traE; conjugal transfer pilus assembly protein TraE
K12068	traL; conjugal transfer pilus assembly protein TraL
K12071	traD; conjugal transfer pilus assembly protein TraD
K12072	traH; conjugative transfer pilus assembly protein TraH
K12113	"ebgR; LacI family transcriptional regulator, ebg operon repressor"
K12132	"prkC, stkP; eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]"
K12136	hyfA; hydrogenase-4 component A [EC:1.-.-.-]
K12137	hyfB; hydrogenase-4 component B [EC:1.-.-.-]
K12138	hyfC; hydrogenase-4 component C [EC:1.-.-.-]
K12139	hyfD; hydrogenase-4 component D [EC:1.-.-.-]
K12140	hyfE; hydrogenase-4 component E [EC:1.-.-.-]
K12141	hyfF; hydrogenase-4 component F [EC:1.-.-.-]
K12142	hyfG; hydrogenase-4 component G [EC:1.-.-.-]
K12143	hyfH; hydrogenase-4 component H
K12144	hyfI; hydrogenase-4 component I [EC:1.-.-.-]
K12147	msyB; acidic protein MsyB
K12158	NEDD8; ubiquitin-like protein Nedd8
K12218	"icmP, trbA; intracellular multiplication protein IcmP"
K12234	"cofE, fbiB; coenzyme F420-0:L-glutamate ligase / coenzyme F420-1:gamma-L-glutamate ligase [EC:6.3.2.31 6.3.2.34]"
K12248	"bst; beta-galactoside alpha-2,6-sialyltransferase (sialyltransferase 0160) [EC:2.4.99.1]"
K12251	aguB; N-carbamoylputrescine amidase [EC:3.5.1.53]
K12252	aruH; arginine:pyruvate transaminase [EC:2.6.1.84]
K12255	gbuA; guanidinobutyrase [EC:3.5.3.7]
K12256	spuC; putrescine---pyruvate transaminase [EC:2.6.1.113]
K12257	secDF; SecD/SecF fusion protein
K12262	cybB; cytochrome b561
K12264	norV; anaerobic nitric oxide reductase flavorubredoxin
K12265	norW; nitric oxide reductase FlRd-NAD(+) reductase [EC:1.18.1.-]
K12266	norR; anaerobic nitric oxide reductase transcription regulator
K12267	msrAB; peptide methionine sulfoxide reductase msrA/msrB [EC:1.8.4.11 1.8.4.12]
K12276	mshE; MSHA biogenesis protein MshE
K12278	mshG; MSHA biogenesis protein MshG
K12279	mshI; MSHA biogenesis protein MshI
K12280	mshJ; MSHA biogenesis protein MshJ
K12282	mshL; MSHA biogenesis protein MshL
K12283	mshM; MSHA biogenesis protein MshM
K12284	mshN; MSHA biogenesis protein MshN
K12286	mshP; MSHA biogenesis protein MshP
K12287	mshQ; MSHA biogenesis protein MshQ
K12288	hofM; pilus assembly protein HofM
K12297	"rlmL, rlmK; 23S rRNA (guanine2445-N2)-methyltransferase / 23S rRNA (guanine2069-N7)-methyltransferase [EC:2.1.1.173 2.1.1.264]"
K12299	"garP; MFS transporter, ACS family, probable galactarate transporter"
K12308	"bgaB, lacA; beta-galactosidase [EC:3.2.1.23]"
K12339	cysM; S-sulfo-L-cysteine synthase (O-acetyl-L-serine-dependent) [EC:2.5.1.144]
K12340	tolC; outer membrane protein
K12368	dppA; dipeptide transport system substrate-binding protein
K12369	dppB; dipeptide transport system permease protein
K12370	dppC; dipeptide transport system permease protein
K12371	dppD; dipeptide transport system ATP-binding protein
K12372	dppF; dipeptide transport system ATP-binding protein
K12373	HEXA_B; hexosaminidase [EC:3.2.1.52]
K12410	npdA; NAD-dependent deacetylase [EC:3.5.1.-]
K12452	"ascC, ddhC, rfbH; CDP-4-dehydro-6-deoxyglucose reductase, E1 [EC:1.17.1.1]"
K12454	rfbE; CDP-paratose 2-epimerase [EC:5.1.3.10]
K12506	"ispDF; 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase / 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase [EC:2.7.7.60 4.6.1.12]"
K12507	fadK; acyl-CoA synthetase [EC:6.2.1.-]
K12510	tadB; tight adherence protein B
K12511	tadC; tight adherence protein C
K12519	papD; chaperone protein PapD
K12524	thrA; bifunctional aspartokinase / homoserine dehydrogenase 1 [EC:2.7.2.4 1.1.1.3]
K12525	metL; bifunctional aspartokinase / homoserine dehydrogenase 2 [EC:2.7.2.4 1.1.1.3]
K12526	lysAC; bifunctional diaminopimelate decarboxylase / aspartate kinase [EC:4.1.1.20 2.7.2.4]
K12527	ygfK; putative selenate reductase [EC:1.97.1.9]
K12541	"lapB; ATP-binding cassette, subfamily C, bacterial LapB"
K12542	"lapC; membrane fusion protein, adhesin transport system"
K12543	"lapE; outer membrane protein, adhesin transport system"
K12573	"rnr, vacB; ribonuclease R [EC:3.1.13.1]"
K12574	rnj; ribonuclease J [EC:3.1.-.-]
K12582	"wecF, rffT; dTDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase [EC:2.4.1.325]"
K12585	"DIS3, RRP44; exosome complex exonuclease DIS3/RRP44 [EC:3.1.13.-]"
K12589	"RRP42, EXOSC7; exosome complex component RRP42"
K12658	lhpA; 4-hydroxyproline epimerase [EC:5.1.1.8]
K12660	rhmA; 2-dehydro-3-deoxy-L-rhamnonate aldolase [EC:4.1.2.53]
K12678	"aidA-I, misL; autotransporter family porin"
K12684	"esp, sigA, sepA; serine protease autotransporter [EC:3.4.21.-]"
K12700	rihC; non-specific riboncleoside hydrolase [EC:3.2.-.-]
K12834	PHF5A; PHD finger-like domain-containing protein 5A
K12940	abgA; aminobenzoyl-glutamate utilization protein A
K12941	abgB; aminobenzoyl-glutamate utilization protein B
K12942	abgT; aminobenzoyl-glutamate transport protein
K12943	ygeR; lipoprotein YgeR
K12944	nudI; nucleoside triphosphatase [EC:3.6.1.-]
K12953	ctpF; cation-transporting P-type ATPase F [EC:7.2.2.-]
K12957	yjgB; uncharacterized zinc-type alcohol dehydrogenase-like protein [EC:1.-.-.-]
K12960	mtaD; 5-methylthioadenosine/S-adenosylhomocysteine deaminase [EC:3.5.4.31 3.5.4.28]
K12961	diaA; DnaA initiator-associating protein
K12962	arnE; undecaprenyl phosphate-alpha-L-ara4N flippase subunit ArnE
K12972	ghrA; glyoxylate/hydroxypyruvate reductase [EC:1.1.1.79 1.1.1.81]
K12975	eptB; KDO II ethanolaminephosphotransferase [EC:2.7.8.42]
K12979	lpxO; beta-hydroxylase [EC:1.14.11.-]
K12982	opsX; heptosyltransferase I [EC:2.4.-.-]
K12989	lpcC; mannosyltransferase [EC:2.4.1.-]
K12990	"rfbF, rhlC; rhamnosyltransferase [EC:2.4.1.-]"
K13010	"per, rfbE; perosamine synthetase [EC:2.6.1.102]"
K13012	wbqP; O-antigen biosynthesis protein WbqP
K13016	wbpB; UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase [EC:1.1.1.335]
K13018	"wbpD, wlbB; UDP-2-acetamido-3-amino-2,3-dideoxy-glucuronate N-acetyltransferase [EC:2.3.1.201]"
K13020	"wlbA, bplA; UDP-N-acetyl-2-amino-2-deoxyglucuronate dehydrogenase [EC:1.1.1.335]"
K13038	"coaBC, dfp; phosphopantothenoylcysteine decarboxylase / phosphopantothenate---cysteine ligase [EC:4.1.1.36 6.3.2.5]"
K13039	comE; sulfopyruvate decarboxylase subunit beta [EC:4.1.1.79]
K13040	"ttrS; two-component system, LuxR family, sensor histidine kinase TtrS [EC:2.7.13.3]"
K13041	"ttrR; two-component system, LuxR family, response regulator TtrR"
K13043	argF; N-succinyl-L-ornithine transcarbamylase [EC:2.1.3.11]
K13051	"iaaA, ASRGL1; beta-aspartyl-peptidase (threonine type) [EC:3.4.19.5]"
K13053	sulA; cell division inhibitor SulA
K13061	"rhlI, phzI, solI, cepI, tofI; acyl homoserine lactone synthase [EC:2.3.1.184]"
K13069	E2.7.7.65; diguanylate cyclase [EC:2.7.7.65]
K13238	"ECI1, DCI; Delta3-Delta2-enoyl-CoA isomerase [EC:5.3.3.8]"
K13252	ptcA; putrescine carbamoyltransferase [EC:2.1.3.6]
K13256	psiE; protein PsiE
K13280	"SEC11, sipW; signal peptidase I [EC:3.4.21.89]"
K13282	cphB; cyanophycinase [EC:3.4.15.6]
K13283	fieF; ferrous-iron efflux pump FieF
K13288	"orn, REX2, REXO2; oligoribonuclease [EC:3.1.-.-]"
K13292	"lgt, umpA; phosphatidylglycerol---prolipoprotein diacylglyceryl transferase [EC:2.5.1.145]"
K13378	nuoCD; NADH-quinone oxidoreductase subunit C/D [EC:7.1.1.2]
K13381	chiA; bifunctional chitinase/lysozyme [EC:3.2.1.14 3.2.1.17]
K13408	raxA; membrane fusion protein
K13409	"raxB, cvaB; ATP-binding cassette, subfamily B, bacterial RaxB"
K13479	"ygeT, xdhB; xanthine dehydrogenase FAD-binding subunit [EC:1.17.1.4]"
K13481	xdhA; xanthine dehydrogenase small subunit [EC:1.17.1.4]
K13482	xdhB; xanthine dehydrogenase large subunit [EC:1.17.1.4]
K13483	yagT; xanthine dehydrogenase YagT iron-sulfur-binding subunit
K13497	trpGD; anthranilate synthase/phosphoribosyltransferase [EC:4.1.3.27 2.4.2.18]
K13498	trpCF; indole-3-glycerol phosphate synthase / phosphoribosylanthranilate isomerase [EC:4.1.1.48 5.3.1.24]
K13525	"VCP, CDC48; transitional endoplasmic reticulum ATPase"
K13527	mpa; proteasome-associated ATPase
K13529	"ada-alkA; AraC family transcriptional regulator, regulatory protein of adaptative response / DNA-3-methyladenine glycosylase II [EC:3.2.2.21]"
K13566	"NIT2, yafV; omega-amidase [EC:3.5.1.3]"
K13571	pafA; proteasome accessory factor A [EC:6.3.1.19]
K13574	ybiC; uncharacterized oxidoreductase [EC:1.1.1.-]
K13581	ccrM; modification methylase [EC:2.1.1.72]
K13583	gcrA; GcrA cell cycle regulator
K13584	"ctrA; two-component system, cell cycle response regulator CtrA"
K13587	"cckA; two-component system, cell cycle sensor histidine kinase and response regulator CckA [EC:2.7.13.3]"
K13588	chpT; histidine phosphotransferase ChpT
K13589	"cpdR; two-component system, cell cycle response regulator CpdR"
K13590	dgcB; diguanylate cyclase [EC:2.7.7.65]
K13598	"ntrY; two-component system, NtrC family, nitrogen regulation sensor histidine kinase NtrY [EC:2.7.13.3]"
K13599	"ntrX; two-component system, NtrC family, nitrogen regulation response regulator NtrX"
K13628	iscA; iron-sulfur cluster assembly protein
K13634	"cysB; LysR family transcriptional regulator, cys regulon transcriptional activator"
K13636	"dsdC; LysR family transcriptional regulator, D-serine deaminase activator"
K13637	"uxuR; GntR family transcriptional regulator, uxu operon transcriptional repressor"
K13638	"zntR; MerR family transcriptional regulator, Zn(II)-responsive regulator of zntA"
K13639	"soxR; MerR family transcriptional regulator, redox-sensitive transcriptional activator SoxR"
K13640	"hspR; MerR family transcriptional regulator, heat shock protein HspR"
K13641	"iclR; IclR family transcriptional regulator, acetate operon repressor"
K13643	"iscR; Rrf2 family transcriptional regulator, iron-sulfur cluster assembly transcription factor"
K13652	K13652; AraC family transcriptional regulator
K13654	"mcbR; GntR family transcriptional regulator, colanic acid and biofilm gene transcriptional regulator"
K13693	gpgS; glucosyl-3-phosphoglycerate synthase [EC:2.4.1.266]
K13694	"mepS, spr; murein DD-endopeptidase / murein LD-carboxypeptidase [EC:3.4.-.- 3.4.17.13]"
K13695	nlpC; probable lipoprotein NlpC
K13746	cansdh; carboxynorspermidine synthase [EC:1.5.1.43]
K13747	nspC; carboxynorspermidine decarboxylase [EC:4.1.1.96]
K13766	liuC; methylglutaconyl-CoA hydratase [EC:4.2.1.18]
K13771	"nsrR; Rrf2 family transcriptional regulator, nitric oxide-sensitive transcriptional repressor"
K13774	atuB; citronellol/citronellal dehydrogenase
K13775	atuG; citronellol/citronellal dehydrogenase
K13778	atuC; geranyl-CoA carboxylase beta subunit [EC:6.4.1.5]
K13779	atuE; isohexenylglutaconyl-CoA hydratase [EC:4.2.1.57]
K13787	"idsA; geranylgeranyl diphosphate synthase, type I [EC:2.5.1.1 2.5.1.10 2.5.1.29]"
K13788	pta; phosphate acetyltransferase [EC:2.3.1.8]
K13789	"GGPS; geranylgeranyl diphosphate synthase, type II [EC:2.5.1.1 2.5.1.10 2.5.1.29]"
K13795	"citB, tcuB; citrate/tricarballylate utilization protein"
K13796	"cobZ, tcuA; tricarballylate dehydrogenase"
K13798	rpoB; DNA-directed RNA polymerase subunit B [EC:2.7.7.6]
K13819	K13819; NifU-like protein
K13821	"putA; RHH-type transcriptional regulator, proline utilization regulon repressor / proline dehydrogenase / delta 1-pyrroline-5-carboxylate dehydrogenase [EC:1.5.5.2 1.2.1.88]"
K13875	"K13875, araC; L-arabonate dehydrase [EC:4.2.1.25]"
K13876	araD; 2-keto-3-deoxy-L-arabinonate dehydratase [EC:4.2.1.43]
K13877	"aldH; 2,5-dioxopentanoate dehydrogenase [EC:1.2.1.26]"
K13888	"macA; membrane fusion protein, macrolide-specific efflux system"
K13889	gsiB; glutathione transport system substrate-binding protein
K13890	gsiC; glutathione transport system permease protein
K13891	gsiD; glutathione transport system permease protein
K13892	gsiA; glutathione transport system ATP-binding protein
K13893	yejA; microcin C transport system substrate-binding protein
K13894	yejB; microcin C transport system permease protein
K13895	yejE; microcin C transport system permease protein
K13896	yejF; microcin C transport system ATP-binding protein
K13918	gudX; glucarate dehydratase-related protein
K13920	pduE; propanediol dehydratase small subunit [EC:4.2.1.28]
K13924	"cheBR; two-component system, chemotaxis family, CheB/CheR fusion protein [EC:2.1.1.80 3.1.1.61]"
K13926	rbbA; ribosome-dependent ATPase
K13938	folM; dihydromonapterin reductase / dihydrofolate reductase [EC:1.5.1.50 1.5.1.3]
K13954	yiaY; alcohol dehydrogenase [EC:1.1.1.1]
K13963	SERPINB; serpin B
K13979	yahK; uncharacterized zinc-type alcohol dehydrogenase-like protein [EC:1.-.-.-]
K13993	HSP20; HSP20 family protein
K14048	ureAB; urease subunit gamma/beta [EC:3.5.1.5]
K14052	puuP; putrescine importer
K14053	ompG; outer membrane protein G
K14054	mpaA; protein MpaA
K14055	uspE; universal stress protein E
K14056	"puuR; HTH-type transcriptional regulator, repressor for puuD"
K14057	"abgR; LysR family transcriptional regulator, regulator of abg operon"
K14058	ttcA; tRNA 2-thiocytidine biosynthesis protein TtcA
K14059	int; integrase
K14062	ompN; outer membrane protein N
K14063	"feaR; AraC family transcriptional regulator, positive regulator of tynA and feaB"
K14065	uspD; universal stress protein D
K14067	mtkA; malate-CoA ligase subunit beta [EC:6.2.1.9]
K14083	mttB; trimethylamine---corrinoid protein Co-methyltransferase [EC:2.1.1.250]
K14127	"mvhD, vhuD, vhcD; F420-non-reducing hydrogenase iron-sulfur subunit [EC:1.12.99.- 1.8.98.5 1.8.98.6]"
K14138	acsB; acetyl-CoA synthase [EC:2.3.1.169]
K14153	thiDE; hydroxymethylpyrimidine kinase / phosphomethylpyrimidine kinase / thiamine-phosphate diphosphorylase [EC:2.7.1.49 2.7.4.7 2.5.1.3]
K14155	"patB, malY; cysteine-S-conjugate beta-lyase [EC:4.4.1.13]"
K14161	imuB; protein ImuB
K14162	dnaE2; error-prone DNA polymerase [EC:2.7.7.7]
K14165	K14165; atypical dual specificity phosphatase [EC:3.1.3.16 3.1.3.48]
K14166	ycnJ; copper transport protein
K14170	pheA; chorismate mutase / prephenate dehydratase [EC:5.4.99.5 4.2.1.51]
K14187	tyrA; chorismate mutase / prephenate dehydrogenase [EC:5.4.99.5 1.3.1.12]
K14205	"mprF, fmtC; phosphatidylglycerol lysyltransferase [EC:2.3.2.3]"
K14259	kdxD; 2-dehydro-3-deoxy-D-arabinonate dehydratase [EC:4.2.1.141]
K14260	alaA; alanine-synthesizing transaminase [EC:2.6.1.66 2.6.1.2]
K14261	alaC; alanine-synthesizing transaminase [EC:2.6.1.-]
K14266	"prnA, rebH, ktzQ; tryptophan 7-halogenase [EC:1.14.19.9]"
K14267	dapC; N-succinyldiaminopimelate aminotransferase [EC:2.6.1.17]
K14287	ybdL; methionine transaminase [EC:2.6.1.88]
K14347	"SLC10A7, P7; solute carrier family 10 (sodium/bile acid cotransporter), member 7"
K14348	"lldR; GntR family transcriptional regulator, L-lactate dehydrogenase operon regulator"
K14387	"SLC5A7, CHT1; solute carrier family 5 (high affinity choline transporter), member 7"
K14392	panF; sodium/pantothenate symporter
K14393	actP; cation/acetate symporter
K14414	rtcR; transcriptional regulatory protein RtcR
K14415	"RTCB, rtcB; tRNA-splicing ligase RtcB (3'-phosphate/5'-hydroxy nucleic acid ligase) [EC:6.5.1.8]"
K14441	rimO; ribosomal protein S12 methylthiotransferase [EC:2.8.4.4]
K14445	"SLC13A2_3_5; solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2/3/5"
K14446	ccr; crotonyl-CoA carboxylase/reductase [EC:1.3.1.85]
K14447	ecm; ethylmalonyl-CoA mutase [EC:5.4.99.63]
K14448	mcd; (2S)-methylsuccinyl-CoA dehydrogenase [EC:1.3.8.12]
K14449	"mch, mcd; 2-methylfumaryl-CoA hydratase [EC:4.2.1.148]"
K14451	mcl2; (3S)-malyl-CoA thioesterase [EC:3.1.2.30]
K14470	mct; 2-methylfumaryl-CoA isomerase [EC:5.4.1.3]
K14540	rbgA; ribosome biogenesis GTPase A
K14564	NOP56; nucleolar protein 56
K14574	"SDO1, SBDS; ribosome maturation protein SDO1"
K14588	cueO; blue copper oxidase
K14591	aroM; protein AroM
K14623	dinD; DNA-damage-inducible protein D
K14645	K14645; serine protease [EC:3.4.21.-]
K14652	"ribBA; 3,4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II [EC:4.1.99.12 3.5.4.25]"
K14656	ribL; FAD synthetase [EC:2.7.7.2]
K14660	nodE; nodulation protein E [EC:2.3.1.-]
K14681	argHA; argininosuccinate lyase / amino-acid N-acetyltransferase [EC:4.3.2.1 2.3.1.1]
K14682	argAB; amino-acid N-acetyltransferase [EC:2.3.1.1]
K14683	"SLC34A, NPT, nptA; solute carrier family 34 (sodium-dependent phosphate cotransporter)"
K14728	K14728; phthiodiolone/phenolphthiodiolone dimycocerosates ketoreductase [EC:1.2.-.-]
K14731	"mlhB, chnC; epsilon-lactone hydrolase [EC:3.1.1.83]"
K14733	"limB; limonene 1,2-monooxygenase [EC:1.14.13.107]"
K14742	tsaB; tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
K14761	ybcJ; ribosome-associated protein
K14762	yibL; ribosome-associated protein
K14941	cofC; 2-phospho-L-lactate guanylyltransferase [EC:2.7.7.68]
K14952	namH; UDP-MurNAc hydroxylase
K14977	"ylbA, UGHY; (S)-ureidoglycine aminohydrolase [EC:3.5.3.26]"
K14980	"chvG; two-component system, OmpR family, sensor histidine kinase ChvG [EC:2.7.13.3]"
K14981	"chvI; two-component system, OmpR family, response regulator ChvI"
K15011	"regB, regS, actS; two-component system, sensor histidine kinase RegB [EC:2.7.13.3]"
K15012	"regA, regR, actR; two-component system, response regulator RegA"
K15016	K15016; enoyl-CoA hydratase / 3-hydroxyacyl-CoA dehydrogenase [EC:4.2.1.17 1.1.1.35]
K15023	acsE; 5-methyltetrahydrofolate corrinoid/iron sulfur protein methyltransferase [EC:2.1.1.258]
K15034	yaeJ; ribosome-associated protein
K15066	ligM; vanillate/3-O-methylgallate O-demethylase [EC:2.1.1.341]
K15067	amnD; 2-aminomuconate deaminase [EC:3.5.99.5]
K15230	aclA; ATP-citrate lyase alpha-subunit [EC:2.3.3.8]
K15256	cmoA; tRNA (cmo5U34)-methyltransferase [EC:2.1.1.-]
K15257	cmoB; tRNA (mo5U34)-methyltransferase [EC:2.1.1.-]
K15268	eamA; O-acetylserine/cysteine efflux transporter
K15269	pecM; probable blue pigment (indigoidine) exporter
K15342	cas1; CRISP-associated protein Cas1
K15358	ena; enamidase [EC:3.5.2.18]
K15371	GDH2; glutamate dehydrogenase [EC:1.4.1.2]
K15383	K15383; MtN3 and saliva related transmembrane protein
K15396	trmJ; tRNA (cytidine32/uridine32-2'-O)-methyltransferase [EC:2.1.1.200]
K15449	TYW1; tRNA wybutosine-synthesizing protein 1 [EC:4.1.3.44]
K15460	"yfiC, trmX; tRNA1Val (adenine37-N6)-methyltransferase [EC:2.1.1.223]"
K15461	mnmC; tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein [EC:2.1.1.61 1.5.-.-]
K15509	hpsN; sulfopropanediol 3-dehydrogenase [EC:1.1.1.308]
K15512	"boxB; benzoyl-CoA 2,3-epoxidase subunit B [EC:1.14.13.208]"
K15513	boxC; benzoyl-CoA-dihydrodiol lyase [EC:4.1.2.44]
K15515	sauS; sulfoacetaldehyde dehydrogenase [EC:1.2.1.81]
K15521	mshA; D-inositol-3-phosphate glycosyltransferase [EC:2.4.1.250]
K15526	mshC; L-cysteine:1D-myo-inositol 2-amino-2-deoxy-alpha-D-glucopyranoside ligase [EC:6.3.1.13]
K15536	cybC; soluble cytochrome b562
K15539	rodZ; cytoskeleton protein RodZ
K15540	ecpD; chaperone protein EcpD
K15545	mlc; transcriptional regulator of PTS gene
K15548	aaeA; p-hydroxybenzoic acid efflux pump subunit AaeA
K15549	"mdtN; membrane fusion protein, multidrug efflux system"
K15550	"mdtP; outer membrane protein, multidrug efflux system"
K15551	tauA; taurine transport system substrate-binding protein
K15552	tauC; taurine transport system permease protein
K15553	ssuA; sulfonate transport system substrate-binding protein
K15554	ssuC; sulfonate transport system permease protein
K15555	ssuB; sulfonate transport system ATP-binding protein [EC:3.6.3.-]
K15576	"nrtA, nasF, cynA; nitrate/nitrite transport system substrate-binding protein"
K15577	"nrtB, nasE, cynB; nitrate/nitrite transport system permease protein"
K15578	"nrtC, nasD; nitrate/nitrite transport system ATP-binding protein [EC:3.6.3.-]"
K15579	"nrtD, cynD; nitrate/nitrite transport system ATP-binding protein"
K15580	"oppA, mppA; oligopeptide transport system substrate-binding protein"
K15581	oppB; oligopeptide transport system permease protein
K15582	oppC; oligopeptide transport system permease protein
K15583	oppD; oligopeptide transport system ATP-binding protein
K15585	"nikB, cntB; nickel transport system permease protein"
K15586	"nikC, cntC; nickel transport system permease protein"
K15598	thiY; putative hydroxymethylpyrimidine transport system substrate-binding protein
K15599	thiX; putative hydroxymethylpyrimidine transport system permease protein
K15600	thiZ; putative hydroxymethylpyrimidine transport system ATP-binding protein
K15633	"gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
K15634	gpmB; probable phosphoglycerate mutase [EC:5.4.2.12]
K15635	"apgM; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]"
K15652	asbF; 3-dehydroshikimate dehydratase [EC:4.2.1.118]
K15723	syd; SecY interacting protein Syd
K15724	erpA; iron-sulfur cluster insertion protein
K15725	"czcC; outer membrane protein, cobalt-zinc-cadmium efflux system"
K15726	czcA; cobalt-zinc-cadmium resistance protein CzcA
K15727	"czcB; membrane fusion protein, cobalt-zinc-cadmium efflux system"
K15735	"csiR; GntR family transcriptional regulator, carbon starvation induced regulator"
K15736	lhgO; L-2-hydroxyglutarate oxidase [EC:1.1.5.-]
K15737	csiD; glutarate hydroxylase [EC:1.14.11.-]
K15738	uup; ABC transport system ATP-binding/permease protein
K15746	crtZ; beta-carotene 3-hydroxylase [EC:1.14.15.24]
K15772	ganQ; arabinogalactan oligomer / maltooligosaccharide transport system permease protein
K15773	hipB; HTH-type transcriptional regulator / antitoxin HipB
K15777	"DOPA; 4,5-DOPA dioxygenase extradiol [EC:1.13.11.-]"
